year,word,frequency
1980,Gymnastics,8
1984,Gymnastics,8
1988,Gymnastics,11
1992,Gymnastics,11
1994,Gymnastics,0
1996,Gymnastics,12
1998,Gymnastics,0
2000,Gymnastics,10
2002,Gymnastics,0
2004,Gymnastics,10
2006,Gymnastics,0
2008,Gymnastics,9
2010,Gymnastics,0
2012,Gymnastics,8
2014,Gymnastics,0
2016,Gymnastics,8
1896,Swimming,1
1900,Swimming,2
1904,Swimming,1
1906,Swimming,1
1908,Swimming,2
1912,Swimming,3
1920,Swimming,3
1924,Swimming,4
1928,Swimming,4
1932,Swimming,3
1936,Swimming,5
1948,Swimming,5
1952,Swimming,6
1956,Swimming,5
1960,Swimming,8
1964,Swimming,9
1968,Swimming,15
1972,Swimming,15
1976,Swimming,13
1980,Swimming,9
1984,Swimming,15
1988,Swimming,19
1992,Swimming,19
1994,Swimming,0
1996,Swimming,19
1998,Swimming,0
2000,Swimming,20
2002,Swimming,0
2004,Swimming,19
2006,Swimming,0
2008,Swimming,20
2010,Swimming,0
2012,Swimming,18
2014,Swimming,0
2016,Swimming,18
1896,Shooting,2
1900,Shooting,6
1904,Shooting,0
1906,Shooting,8
1908,Shooting,11
1912,Shooting,19
1920,Shooting,20
1924,Shooting,13
1928,Shooting,0
1932,Shooting,2
1936,Shooting,4
1948,Shooting,6
1952,Shooting,7
1956,Shooting,6
1960,Shooting,10
1964,Shooting,8
1968,Shooting,10
1972,Shooting,12
1976,Shooting,9
1980,Shooting,7
1984,Shooting,13
1988,Shooting,14
1992,Shooting,14
1994,Shooting,0
1996,Shooting,15
1998,Shooting,0
2000,Shooting,15
2002,Shooting,0
2004,Shooting,14
2006,Shooting,0
2008,Shooting,14
2010,Shooting,0
2012,Shooting,14
2014,Shooting,0
2016,Shooting,14
1896,Cycling,2
1900,Cycling,3
1904,Cycling,2
1906,Cycling,5
1908,Cycling,9
1912,Cycling,8
1920,Cycling,7
1924,Cycling,8
1928,Cycling,7
1932,Cycling,4
1936,Cycling,10
1948,Cycling,10
1952,Cycling,12
1956,Cycling,9
1960,Cycling,13
1964,Cycling,14
1968,Cycling,15
1972,Cycling,16
1976,Cycling,12
1980,Cycling,10
1984,Cycling,15
1988,Cycling,16
1992,Cycling,17
1994,Cycling,0
1996,Cycling,18
1998,Cycling,0
2000,Cycling,19
2002,Cycling,0
2004,Cycling,19
2006,Cycling,0
2008,Cycling,20
2010,Cycling,0
2012,Cycling,19
2014,Cycling,0
2016,Cycling,20
1896,Fencing,1
1900,Fencing,11
1904,Fencing,1
1906,Fencing,6
1908,Fencing,8
1912,Fencing,13
1920,Fencing,12
1924,Fencing,15
1928,Fencing,15
1932,Fencing,7
1936,Fencing,19
1948,Fencing,17
1952,Fencing,17
1956,Fencing,10
1960,Fencing,20
1964,Fencing,17
1968,Fencing,17
1972,Fencing,17
1976,Fencing,17
1980,Fencing,11
1984,Fencing,15
1988,Fencing,17
1992,Fencing,16
1994,Fencing,0
1996,Fencing,13
1998,Fencing,0
2000,Fencing,12
2002,Fencing,0
2004,Fencing,11
2006,Fencing,0
2008,Fencing,12
2010,Fencing,0
2012,Fencing,12
2014,Fencing,0
2016,Fencing,12
1896,Rowing,0
1900,Rowing,5
1904,Rowing,2
1906,Rowing,7
1908,Rowing,3
1912,Rowing,6
1920,Rowing,5
1924,Rowing,6
1928,Rowing,8
1932,Rowing,6
1936,Rowing,11
1948,Rowing,10
1952,Rowing,13
1956,Rowing,8
1960,Rowing,14
1964,Rowing,12
1968,Rowing,11
1972,Rowing,14
1976,Rowing,19
1980,Rowing,15
1984,Rowing,15
1988,Rowing,19
1992,Rowing,20
1994,Rowing,0
1996,Rowing,19
1998,Rowing,0
2000,Rowing,17
2002,Rowing,0
2004,Rowing,17
2006,Rowing,0
2008,Rowing,18
2010,Rowing,0
2012,Rowing,17
2014,Rowing,0
2016,Rowing,17
1896,Cross Country Skiing,0
1900,Cross Country Skiing,0
1904,Cross Country Skiing,0
1906,Cross Country Skiing,0
1908,Cross Country Skiing,0
1912,Cross Country Skiing,0
1920,Cross Country Skiing,0
1924,Cross Country Skiing,2
1928,Cross Country Skiing,3
1932,Cross Country Skiing,2
1936,Cross Country Skiing,5
1948,Cross Country Skiing,4
1952,Cross Country Skiing,5
1956,Cross Country Skiing,7
1960,Cross Country Skiing,6
1964,Cross Country Skiing,9
1968,Cross Country Skiing,9
1972,Cross Country Skiing,9
1976,Cross Country Skiing,10
1980,Cross Country Skiing,8
1984,Cross Country Skiing,12
1988,Cross Country Skiing,14
1992,Cross Country Skiing,18
1994,Cross Country Skiing,16
1996,Cross Country Skiing,0
1998,Cross Country Skiing,19
2000,Cross Country Skiing,0
2002,Cross Country Skiing,20
2004,Cross Country Skiing,0
2006,Cross Country Skiing,20
2008,Cross Country Skiing,0
2010,Cross Country Skiing,18
2012,Cross Country Skiing,0
2014,Cross Country Skiing,19
2016,Cross Country Skiing,0
1896,Alpine Skiing,0
1900,Alpine Skiing,0
1904,Alpine Skiing,0
1906,Alpine Skiing,0
1908,Alpine Skiing,0
1912,Alpine Skiing,0
1920,Alpine Skiing,0
1924,Alpine Skiing,0
1928,Alpine Skiing,0
1932,Alpine Skiing,0
1936,Alpine Skiing,3
1948,Alpine Skiing,10
1952,Alpine Skiing,11
1956,Alpine Skiing,11
1960,Alpine Skiing,9
1964,Alpine Skiing,11
1968,Alpine Skiing,12
1972,Alpine Skiing,9
1976,Alpine Skiing,11
1980,Alpine Skiing,9
1984,Alpine Skiing,11
1988,Alpine Skiing,18
1992,Alpine Skiing,20
1994,Alpine Skiing,15
1996,Alpine Skiing,0
1998,Alpine Skiing,13
2000,Alpine Skiing,0
2002,Alpine Skiing,15
2004,Alpine Skiing,0
2006,Alpine Skiing,17
2008,Alpine Skiing,0
2010,Alpine Skiing,19
2012,Alpine Skiing,0
2014,Alpine Skiing,19
2016,Alpine Skiing,0
1896,Wrestling,1
1900,Wrestling,0
1904,Wrestling,3
1906,Wrestling,2
1908,Wrestling,6
1912,Wrestling,8
1920,Wrestling,8
1924,Wrestling,11
1928,Wrestling,8
1932,Wrestling,4
1936,Wrestling,10
1948,Wrestling,11
1952,Wrestling,12
1956,Wrestling,9
1960,Wrestling,15
1964,Wrestling,14
1968,Wrestling,15
1972,Wrestling,18
1976,Wrestling,16
1980,Wrestling,12
1984,Wrestling,13
1988,Wrestling,20
1992,Wrestling,17
1994,Wrestling,0
1996,Wrestling,18
1998,Wrestling,0
2000,Wrestling,14
2002,Wrestling,0
2004,Wrestling,15
2006,Wrestling,0
2008,Wrestling,16
2010,Wrestling,0
2012,Wrestling,15
2014,Wrestling,0
2016,Wrestling,16
1896,Football Men's Football,0
1900,Football Men's Football,3
1904,Football Men's Football,3
1906,Football Men's Football,4
1908,Football Men's Football,5
1912,Football Men's Football,12
1920,Football Men's Football,13
1924,Football Men's Football,19
1928,Football Men's Football,15
1932,Football Men's Football,0
1936,Football Men's Football,14
1948,Football Men's Football,15
1952,Football Men's Football,20
1956,Football Men's Football,10
1960,Football Men's Football,16
1964,Football Men's Football,15
1968,Football Men's Football,19
1972,Football Men's Football,19
1976,Football Men's Football,14
1980,Football Men's Football,18
1984,Football Men's Football,17
1988,Football Men's Football,19
1992,Football Men's Football,19
1994,Football Men's Football,0
1996,Football Men's Football,18
1998,Football Men's Football,0
2000,Football Men's Football,19
2002,Football Men's Football,0
2004,Football Men's Football,18
2006,Football Men's Football,0
2008,Football Men's Football,19
2010,Football Men's Football,0
2012,Football Men's Football,19
2014,Football Men's Football,0
2016,Football Men's Football,19
1896,Ice Hockey Men's Ice Hockey,0
1900,Ice Hockey Men's Ice Hockey,0
1904,Ice Hockey Men's Ice Hockey,0
1906,Ice Hockey Men's Ice Hockey,0
1908,Ice Hockey Men's Ice Hockey,0
1912,Ice Hockey Men's Ice Hockey,0
1920,Ice Hockey Men's Ice Hockey,4
1924,Ice Hockey Men's Ice Hockey,6
1928,Ice Hockey Men's Ice Hockey,8
1932,Ice Hockey Men's Ice Hockey,4
1936,Ice Hockey Men's Ice Hockey,12
1948,Ice Hockey Men's Ice Hockey,9
1952,Ice Hockey Men's Ice Hockey,10
1956,Ice Hockey Men's Ice Hockey,11
1960,Ice Hockey Men's Ice Hockey,10
1964,Ice Hockey Men's Ice Hockey,18
1968,Ice Hockey Men's Ice Hockey,17
1972,Ice Hockey Men's Ice Hockey,14
1976,Ice Hockey Men's Ice Hockey,14
1980,Ice Hockey Men's Ice Hockey,16
1984,Ice Hockey Men's Ice Hockey,16
1988,Ice Hockey Men's Ice Hockey,17
1992,Ice Hockey Men's Ice Hockey,18
1994,Ice Hockey Men's Ice Hockey,18
1996,Ice Hockey Men's Ice Hockey,0
1998,Ice Hockey Men's Ice Hockey,20
2000,Ice Hockey Men's Ice Hockey,0
2002,Ice Hockey Men's Ice Hockey,20
2004,Ice Hockey Men's Ice Hockey,0
2006,Ice Hockey Men's Ice Hockey,19
2008,Ice Hockey Men's Ice Hockey,0
2010,Ice Hockey Men's Ice Hockey,17
2012,Ice Hockey Men's Ice Hockey,0
2014,Ice Hockey Men's Ice Hockey,19
2016,Ice Hockey Men's Ice Hockey,0
1896,Hockey Men's Hockey,0
1900,Hockey Men's Hockey,0
1904,Hockey Men's Hockey,0
1906,Hockey Men's Hockey,0
1908,Hockey Men's Hockey,6
1912,Hockey Men's Hockey,0
1920,Hockey Men's Hockey,4
1924,Hockey Men's Hockey,0
1928,Hockey Men's Hockey,11
1932,Hockey Men's Hockey,4
1936,Hockey Men's Hockey,13
1948,Hockey Men's Hockey,15
1952,Hockey Men's Hockey,12
1956,Hockey Men's Hockey,14
1960,Hockey Men's Hockey,18
1964,Hockey Men's Hockey,18
1968,Hockey Men's Hockey,20
1972,Hockey Men's Hockey,20
1976,Hockey Men's Hockey,14
1980,Hockey Men's Hockey,8
1984,Hockey Men's Hockey,15
1988,Hockey Men's Hockey,15
1992,Hockey Men's Hockey,15
1994,Hockey Men's Hockey,0
1996,Hockey Men's Hockey,15
1998,Hockey Men's Hockey,0
2000,Hockey Men's Hockey,15
2002,Hockey Men's Hockey,0
2004,Hockey Men's Hockey,15
2006,Hockey Men's Hockey,0
2008,Hockey Men's Hockey,15
2010,Hockey Men's Hockey,0
2012,Hockey Men's Hockey,15
2014,Hockey Men's Hockey,0
2016,Hockey Men's Hockey,15
1896,Water Polo Men's Water Polo,0
1900,Water Polo Men's Water Polo,6
1904,Water Polo Men's Water Polo,3
1906,Water Polo Men's Water Polo,0
1908,Water Polo Men's Water Polo,3
1912,Water Polo Men's Water Polo,5
1920,Water Polo Men's Water Polo,11
1924,Water Polo Men's Water Polo,11
1928,Water Polo Men's Water Polo,12
1932,Water Polo Men's Water Polo,5
1936,Water Polo Men's Water Polo,15
1948,Water Polo Men's Water Polo,17
1952,Water Polo Men's Water Polo,20
1956,Water Polo Men's Water Polo,11
1960,Water Polo Men's Water Polo,16
1964,Water Polo Men's Water Polo,15
1968,Water Polo Men's Water Polo,17
1972,Water Polo Men's Water Polo,19
1976,Water Polo Men's Water Polo,14
1980,Water Polo Men's Water Polo,14
1984,Water Polo Men's Water Polo,17
1988,Water Polo Men's Water Polo,17
1992,Water Polo Men's Water Polo,16
1994,Water Polo Men's Water Polo,0
1996,Water Polo Men's Water Polo,17
1998,Water Polo Men's Water Polo,0
2000,Water Polo Men's Water Polo,17
2002,Water Polo Men's Water Polo,0
2004,Water Polo Men's Water Polo,17
2006,Water Polo Men's Water Polo,0
2008,Water Polo Men's Water Polo,17
2010,Water Polo Men's Water Polo,0
2012,Water Polo Men's Water Polo,17
2014,Water Polo Men's Water Polo,0
2016,Water Polo Men's Water Polo,17
1896,Basketball Men's Basketball,0
1900,Basketball Men's Basketball,0
1904,Basketball Men's Basketball,0
1906,Basketball Men's Basketball,0
1908,Basketball Men's Basketball,0
1912,Basketball Men's Basketball,0
1920,Basketball Men's Basketball,0
1924,Basketball Men's Basketball,0
1928,Basketball Men's Basketball,0
1932,Basketball Men's Basketball,0
1936,Basketball Men's Basketball,14
1948,Basketball Men's Basketball,20
1952,Basketball Men's Basketball,20
1956,Basketball Men's Basketball,12
1960,Basketball Men's Basketball,14
1964,Basketball Men's Basketball,13
1968,Basketball Men's Basketball,13
1972,Basketball Men's Basketball,13
1976,Basketball Men's Basketball,10
1980,Basketball Men's Basketball,10
1984,Basketball Men's Basketball,10
1988,Basketball Men's Basketball,10
1992,Basketball Men's Basketball,10
1994,Basketball Men's Basketball,0
1996,Basketball Men's Basketball,10
1998,Basketball Men's Basketball,0
2000,Basketball Men's Basketball,10
2002,Basketball Men's Basketball,0
2004,Basketball Men's Basketball,10
2006,Basketball Men's Basketball,0
2008,Basketball Men's Basketball,10
2010,Basketball Men's Basketball,0
2012,Basketball Men's Basketball,10
2014,Basketball Men's Basketball,0
2016,Basketball Men's Basketball,10
1896,"Cycling Men's Road Race, Individual",1
1900,"Cycling Men's Road Race, Individual",0
1904,"Cycling Men's Road Race, Individual",0
1906,"Cycling Men's Road Race, Individual",3
1908,"Cycling Men's Road Race, Individual",0
1912,"Cycling Men's Road Race, Individual",14
1920,"Cycling Men's Road Race, Individual",6
1924,"Cycling Men's Road Race, Individual",8
1928,"Cycling Men's Road Race, Individual",9
1932,"Cycling Men's Road Race, Individual",4
1936,"Cycling Men's Road Race, Individual",11
1948,"Cycling Men's Road Race, Individual",12
1952,"Cycling Men's Road Race, Individual",13
1956,"Cycling Men's Road Race, Individual",10
1960,"Cycling Men's Road Race, Individual",16
1964,"Cycling Men's Road Race, Individual",15
1968,"Cycling Men's Road Race, Individual",16
1972,"Cycling Men's Road Race, Individual",18
1976,"Cycling Men's Road Race, Individual",15
1980,"Cycling Men's Road Race, Individual",13
1984,"Cycling Men's Road Race, Individual",15
1988,"Cycling Men's Road Race, Individual",15
1992,"Cycling Men's Road Race, Individual",17
1994,"Cycling Men's Road Race, Individual",0
1996,"Cycling Men's Road Race, Individual",20
1998,"Cycling Men's Road Race, Individual",0
2000,"Cycling Men's Road Race, Individual",17
2002,"Cycling Men's Road Race, Individual",0
2004,"Cycling Men's Road Race, Individual",16
2006,"Cycling Men's Road Race, Individual",0
2008,"Cycling Men's Road Race, Individual",16
2010,"Cycling Men's Road Race, Individual",0
2012,"Cycling Men's Road Race, Individual",16
2014,"Cycling Men's Road Race, Individual",0
2016,"Cycling Men's Road Race, Individual",16
1896,Gymnastics Men's Individual All-Around,0
1900,Gymnastics Men's Individual All-Around,15
1904,Gymnastics Men's Individual All-Around,13
1906,Gymnastics Men's Individual All-Around,3
1908,Gymnastics Men's Individual All-Around,11
1912,Gymnastics Men's Individual All-Around,5
1920,Gymnastics Men's Individual All-Around,3
1924,Gymnastics Men's Individual All-Around,8
1928,Gymnastics Men's Individual All-Around,10
1932,Gymnastics Men's Individual All-Around,3
1936,Gymnastics Men's Individual All-Around,12
1948,Gymnastics Men's Individual All-Around,14
1952,Gymnastics Men's Individual All-Around,20
1956,Gymnastics Men's Individual All-Around,7
1960,Gymnastics Men's Individual All-Around,15
1964,Gymnastics Men's Individual All-Around,15
1968,Gymnastics Men's Individual All-Around,13
1972,Gymnastics Men's Individual All-Around,13
1976,Gymnastics Men's Individual All-Around,10
1980,Gymnastics Men's Individual All-Around,8
1984,Gymnastics Men's Individual All-Around,8
1988,Gymnastics Men's Individual All-Around,10
1992,Gymnastics Men's Individual All-Around,11
1994,Gymnastics Men's Individual All-Around,0
1996,Gymnastics Men's Individual All-Around,12
1998,Gymnastics Men's Individual All-Around,0
2000,Gymnastics Men's Individual All-Around,11
2002,Gymnastics Men's Individual All-Around,0
2004,Gymnastics Men's Individual All-Around,11
2006,Gymnastics Men's Individual All-Around,0
2008,Gymnastics Men's Individual All-Around,11
2010,Gymnastics Men's Individual All-Around,0
2012,Gymnastics Men's Individual All-Around,5
2014,Gymnastics Men's Individual All-Around,0
2016,Gymnastics Men's Individual All-Around,6
1896,Rowing Men's Coxed Eights,0
1900,Rowing Men's Coxed Eights,7
1904,Rowing Men's Coxed Eights,3
1906,Rowing Men's Coxed Eights,0
1908,Rowing Men's Coxed Eights,8
1912,Rowing Men's Coxed Eights,15
1920,Rowing Men's Coxed Eights,11
1924,Rowing Men's Coxed Eights,14
1928,Rowing Men's Coxed Eights,15
1932,Rowing Men's Coxed Eights,11
1936,Rowing Men's Coxed Eights,19
1948,Rowing Men's Coxed Eights,16
1952,Rowing Men's Coxed Eights,19
1956,Rowing Men's Coxed Eights,14
1960,Rowing Men's Coxed Eights,19
1964,Rowing Men's Coxed Eights,19
1968,Rowing Men's Coxed Eights,17
1972,Rowing Men's Coxed Eights,20
1976,Rowing Men's Coxed Eights,15
1980,Rowing Men's Coxed Eights,12
1984,Rowing Men's Coxed Eights,10
1988,Rowing Men's Coxed Eights,14
1992,Rowing Men's Coxed Eights,19
1994,Rowing Men's Coxed Eights,0
1996,Rowing Men's Coxed Eights,14
1998,Rowing Men's Coxed Eights,0
2000,Rowing Men's Coxed Eights,13
2002,Rowing Men's Coxed Eights,0
2004,Rowing Men's Coxed Eights,13
2006,Rowing Men's Coxed Eights,0
2008,Rowing Men's Coxed Eights,12
2010,Rowing Men's Coxed Eights,0
2012,Rowing Men's Coxed Eights,11
2014,Rowing Men's Coxed Eights,0
2016,Rowing Men's Coxed Eights,10
1896,Gymnastics Men's Team All-Around,0
1900,Gymnastics Men's Team All-Around,0
1904,Gymnastics Men's Team All-Around,7
1906,Gymnastics Men's Team All-Around,7
1908,Gymnastics Men's Team All-Around,20
1912,Gymnastics Men's Team All-Around,8
1920,Gymnastics Men's Team All-Around,10
1924,Gymnastics Men's Team All-Around,6
1928,Gymnastics Men's Team All-Around,7
1932,Gymnastics Men's Team All-Around,2
1936,Gymnastics Men's Team All-Around,9
1948,Gymnastics Men's Team All-Around,10
1952,Gymnastics Men's Team All-Around,14
1956,Gymnastics Men's Team All-Around,4
1960,Gymnastics Men's Team All-Around,10
1964,Gymnastics Men's Team All-Around,9
1968,Gymnastics Men's Team All-Around,8
1972,Gymnastics Men's Team All-Around,8
1976,Gymnastics Men's Team All-Around,6
1980,Gymnastics Men's Team All-Around,5
1984,Gymnastics Men's Team All-Around,5
1988,Gymnastics Men's Team All-Around,6
1992,Gymnastics Men's Team All-Around,6
1994,Gymnastics Men's Team All-Around,0
1996,Gymnastics Men's Team All-Around,7
1998,Gymnastics Men's Team All-Around,0
2000,Gymnastics Men's Team All-Around,6
2002,Gymnastics Men's Team All-Around,0
2004,Gymnastics Men's Team All-Around,6
2006,Gymnastics Men's Team All-Around,0
2008,Gymnastics Men's Team All-Around,6
2010,Gymnastics Men's Team All-Around,0
2012,Gymnastics Men's Team All-Around,5
2014,Gymnastics Men's Team All-Around,0
2016,Gymnastics Men's Team All-Around,5
1896,Handball Men's Handball,0
1900,Handball Men's Handball,0
1904,Handball Men's Handball,0
1906,Handball Men's Handball,0
1908,Handball Men's Handball,0
1912,Handball Men's Handball,0
1920,Handball Men's Handball,0
1924,Handball Men's Handball,0
1928,Handball Men's Handball,0
1932,Handball Men's Handball,0
1936,Handball Men's Handball,9
1948,Handball Men's Handball,0
1952,Handball Men's Handball,0
1956,Handball Men's Handball,0
1960,Handball Men's Handball,0
1964,Handball Men's Handball,0
1968,Handball Men's Handball,0
1972,Handball Men's Handball,20
1976,Handball Men's Handball,14
1980,Handball Men's Handball,14
1984,Handball Men's Handball,15
1988,Handball Men's Handball,14
1992,Handball Men's Handball,15
1994,Handball Men's Handball,0
1996,Handball Men's Handball,15
1998,Handball Men's Handball,0
2000,Handball Men's Handball,15
2002,Handball Men's Handball,0
2004,Handball Men's Handball,15
2006,Handball Men's Handball,0
2008,Handball Men's Handball,15
2010,Handball Men's Handball,0
2012,Handball Men's Handball,15
2014,Handball Men's Handball,0
2016,Handball Men's Handball,15
